jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,posicion,team_id,href,prob,lesion,sancion
Fran Gonzalez,-11071,656336,667407,688898,Portero,17,https://www.futbolfantasy.com/jugadores/fran-gonzalez,0%,-1,0
Adrian Niño,-68661,2416394,2485055,2742783,Delantero,11,https://www.futbolfantasy.com/jugadores/adrian-niño,0%,-1,0
Ruben Gomez,-6978,558104,565082,602292,Portero,22,https://www.futbolfantasy.com/jugadores/ruben-gomez,0%,-1,0
Miguel Roman,-18487,5427027,5445514,5143108,Mediocampista,5,https://www.futbolfantasy.com/jugadores/miguel-roman,70%,-1,0
Tajon Buchanan,-214709,18056991,18271700,19356221,Mediocampista,22,https://www.futbolfantasy.com/jugadores/tajon-buchanan,40%,-1,0
Orri Steinn Oskarsson,-98160,7613765,7711925,8398015,Delantero,16,https://www.futbolfantasy.com/jugadores/orri-steinn-oskarsson,0%,-1,0
German Valera,-126691,23175686,23302377,23608513,Mediocampista,21,https://www.futbolfantasy.com/jugadores/german-valera,90%,-1,0
Antony,390763,59139209,58748446,60565486,Delantero,4,https://www.futbolfantasy.com/jugadores/antony,70%,-1,0
Maroan Sannadi,-1216,419818,421034,445392,Delantero,1,https://www.futbolfantasy.com/jugadores/maroan-sannadi,0%,-1,0
Pablo Ramon,-4104,506447,510551,540217,Defensa,42,https://www.futbolfantasy.com/jugadores/pablo-ramon,90%,-1,0
Ruben Vargas,-483631,25397045,25880676,27713157,Delantero,17,https://www.futbolfantasy.com/jugadores/ruben-vargas,40%,-1,0
Facundo Garces,-8703,599497,608200,684501,Defensa,28,https://www.futbolfantasy.com/jugadores/facundo-garces,0%, -1 ,0
Roberto Fernandez,185742,7314548,7128806,6100590,Delantero,7,https://www.futbolfantasy.com/jugadores/roberto-fernandez,0%,-1,0
Raul Asencio,-122235,4322327,4444562,5328660,Defensa,15,https://www.futbolfantasy.com/jugadores/raul-asencio,0%,-1,0
Wojciech Szczesny,-49925,2258768,2308693,2618810,Portero,3,https://www.futbolfantasy.com/jugadores/wojciech-szczesny,20%,-1,0
Karl Etta Eyong,96844,25796063,25699219,23935758,Delantero,10,https://www.futbolfantasy.com/jugadores/karl-etta-eyong,0%,-1,0
Pau Navarro,-136595,8859399,8995994,9518522,Defensa,22,https://www.futbolfantasy.com/jugadores/pau-navarro,30%,-1,0
Julio Diaz,-2838,458748,461586,477990,Defensa,17,https://www.futbolfantasy.com/jugadores/julio-diaz,30%,-1,0
Zaid Romero,-111289,27950546,28061835,30116266,Defensa,8,https://www.futbolfantasy.com/jugadores/zaid-romero,90%,-1,0
Luka Sucic,-45773,3492537,3538310,3699668,Mediocampista,16,https://www.futbolfantasy.com/jugadores/luka-sucic,50%,-1,0
Gabriel Moscardo,-244869,9004806,9249675,10609746,Mediocampista,7,https://www.futbolfantasy.com/jugadores/gabriel-moscardo,10%,-1,0
Arouna Sangante,-13742,8724501,8738243,0,Defensa,17,https://www.futbolfantasy.com/jugadores/arouna-sangante,70%,-1,0
Yan Diomande,-861595,85961638,86823233,0,Delantero,15,https://www.futbolfantasy.com/jugadores/yan-diomande,0%,-1,0
Pedro Felipe,-50808,2531500,2582308,0,Defensa,42,https://www.futbolfantasy.com/jugadores/pedro-felipe,30%,1,0
Andres Garcia,-134372,8826688,8961060,0,Mediocampista,8,https://www.futbolfantasy.com/jugadores/andres-garcia,80%,-1,0
Orel Mangala,-108022,10726332,10834354,0,Mediocampista,8,https://www.futbolfantasy.com/jugadores/orel-mangala,80%,-1,0
Saba Sazonov,-33374,1191615,1224989,0,Defensa,8,https://www.futbolfantasy.com/jugadores/saba-sazonov,30%,-1,0
Marcos Fernandez,-35320,1365047,1400367,0,Delantero,7,https://www.futbolfantasy.com/jugadores/marcos-fernandez,0%,-1,0
Angeliño,99300,15509670,15410370,0,Defensa,6,https://www.futbolfantasy.com/jugadores/angeliño,0%,-1,0
Mikel Rodriguez,20543,841502,820959,0,Mediocampista,28,https://www.futbolfantasy.com/jugadores/mikel-rodriguez,0%,-1,0
Peter Gulacsi,-5465,4246704,4252169,0,Portero,22,https://www.futbolfantasy.com/jugadores/peter-gulacsi,40%,-1,0
Aliou Dieng,-118560,4477481,4596041,5216586,Mediocampista,18,https://www.futbolfantasy.com/jugadores/aliou-dieng,0%,-1,0
Alex Grimaldo,-187399,46532747,46720146,0,Defensa,2,https://www.futbolfantasy.com/jugadores/alex-grimaldo,0%,-1,0
Justin De Haas,-7010,9180190,9187200,8531553,Defensa,18,https://www.futbolfantasy.com/jugadores/justin-de-haas,0%,-1,0
Lorenzo Amatucci,76854,13105235,13028381,11985557,Mediocampista,6,https://www.futbolfantasy.com/jugadores/lorenzo-amatucci,0%,-1,0
Bernardo Silva,1123107,55749548,54626441,46105845,Mediocampista,15,https://www.futbolfantasy.com/jugadores/bernardo-silva,0%,-1,0
Morten Hjulmand,258392,36833604,36575212,33433073,Mediocampista,2,https://www.futbolfantasy.com/jugadores/morten-hjulmand,0%,-1,0
Alex Calatrava,13487,3992594,3979107,3630255,Delantero,7,https://www.futbolfantasy.com/jugadores/alex-calatrava,0%,-1,0
Pierre-Emerick Aubameyang,1093046,33702546,32609500,25824916,Delantero,6,https://www.futbolfantasy.com/jugadores/pierre-emerick-aubameyang,0%,-1,0
Ibrahima Konate,-205985,48529231,48735216,45605906,Defensa,15,https://www.futbolfantasy.com/jugadores/ibrahima-konate,0%,-1,0
Marc Cucurella,-649569,80951890,81601459,82154183,Defensa,15,https://www.futbolfantasy.com/jugadores/marc-cucurella,0%,-1,0
Quilindschy Hartman,-204106,8549027,8753133,9774252,Defensa,7,https://www.futbolfantasy.com/jugadores/quilindschy-hartman,30%,-1,0
Denzel Dumfries,-916903,56117817,57034720,64912631,Defensa,15,https://www.futbolfantasy.com/jugadores/denzel-dumfries,0%,-1,0
Nicolas Valentini,-33164,1186569,1219733,0,Defensa,28,https://www.futbolfantasy.com/jugadores/nicolas-valentini,30%,-1,0
Bright Ede,-32124,2768765,2800889,0,Defensa,6,https://www.futbolfantasy.com/jugadores/bright-ede,0%,-1,0
David Larrubia,-864885,52687934,53552819,55397796,Mediocampista,11,https://www.futbolfantasy.com/jugadores/david-larrubia,0%,-1,0
Manolo Gonzalez,-29103,1089101,1118204,1336050,Entrenador,7,https://www.futbolfantasy.com/jugadores/manolo-gonzalez,0%,-1,0
Carlos Corberan,-11733,672208,683941,781262,Entrenador,18,https://www.futbolfantasy.com/jugadores/carlos-corberan,0%,-1,0
Luis Garcia,-18535,835465,854000,998520,Entrenador,17,https://www.futbolfantasy.com/jugadores/luis-garcia,0%,-1,0
Pellegrino Matarazzo,-136708,3720299,3857007,4786960,Entrenador,16,https://www.futbolfantasy.com/jugadores/pellegrino-matarazzo,0%,-1,0
Jose Mourinho,-411670,13258503,13670173,16680918,Entrenador,15,https://www.futbolfantasy.com/jugadores/jose-mourinho,0%,-1,0
Beñat San Jose,-48766,1561011,1609777,1964049,Entrenador,14,https://www.futbolfantasy.com/jugadores/beñat-san-jose,0%,-1,0
Jose Alberto Lopez,-22616,933405,956021,1128855,Entrenador,42,https://www.futbolfantasy.com/jugadores/jose-alberto-lopez,0%,-1,0
Luis Miguel Ramis,-41720,1391898,1433618,1739001,Entrenador,13,https://www.futbolfantasy.com/jugadores/luis-miguel-ramis,0%,-1,0
