jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,posicion,team_id,href,prob,lesion,sancion
Fran Perez,-15435,761078,776513,866706,Mediocampista,14,https://www.futbolfantasy.com/jugadores/fran-perez,30%,-1,0
Hugo Gonzalez,-12551,1365661,1378212,1505646,Mediocampista,5,https://www.futbolfantasy.com/jugadores/hugo-gonzalez,0%,-1,0
Cesar Tarrega,7779,9064307,9056528,8911289,Defensa,18,https://www.futbolfantasy.com/jugadores/cesar-tarrega,80%,-1,0
Santi Comesaña,98900,34749442,34650542,30690372,Mediocampista,22,https://www.futbolfantasy.com/jugadores/santi-comesaña,0%,-1,0
Mouctar Diakhaby,-102766,5658128,5760894,6400975,Defensa,18,https://www.futbolfantasy.com/jugadores/mouctar-diakhaby,40%,-1,0
Mariano Diaz,152623,1091310,938687,1048223,Delantero,28,https://www.futbolfantasy.com/jugadores/mariano-diaz,0%,-1,0
Jon Ander Olasagasti,-1264,4381502,4382766,3910156,Mediocampista,10,https://www.futbolfantasy.com/jugadores/jon-ander-olasagasti,80%,-1,0
Marko Dmitrovic,43375,37603510,37560135,35724996,Portero,7,https://www.futbolfantasy.com/jugadores/marko-dmitrovic,95%,-1,0
Umar Sadiq,-88228,6718998,6807226,7507226,Delantero,18,https://www.futbolfantasy.com/jugadores/umar-sadiq,40%,-1,0
Beñat Turrientes,14857,7150900,7136043,6774571,Mediocampista,16,https://www.futbolfantasy.com/jugadores/beñat-turrientes,0%,-1,0
Robin Le Normand,119490,10263651,10144161,10138900,Defensa,2,https://www.futbolfantasy.com/jugadores/robin-le-normand,60%,-1,0
Unai Marrero,-27119,1097738,1124857,1266659,Portero,16,https://www.futbolfantasy.com/jugadores/unai-marrero,10%,-1,0
Raul Moro,237661,13778319,13540658,12678205,Delantero,13,https://www.futbolfantasy.com/jugadores/raul-moro,60%,-1,0
Urko Gonzalez De Zarate,-28187,4722490,4750677,4777203,Mediocampista,7,https://www.futbolfantasy.com/jugadores/urko-gonzalez-de-zarate,80%,-1,0
Eric Puerto,0,367523,367523,369346,Portero,6,https://www.futbolfantasy.com/jugadores/eric-puerto,0%,-1,0
Javier Boñar,0,445140,445140,453565,Defensa,2,https://www.futbolfantasy.com/jugadores/javier-boñar,0%,-1,0
Dani Martinez,0,415311,415311,421199,Defensa,2,https://www.futbolfantasy.com/jugadores/dani-martinez,0%,-1,0
Javi Serrano,0,429199,429199,436269,Mediocampista,2,https://www.futbolfantasy.com/jugadores/javi-serrano,0%,-1,0
Aleksa Puric,0,434872,434872,442424,Defensa,2,https://www.futbolfantasy.com/jugadores/aleksa-puric,0%,-1,0
Pablo Garcia,0,463623,468964,468964,Defensa,6,https://www.futbolfantasy.com/jugadores/pablo-garcia,0%,-1,0
Diego Conde,0,3041589,3041589,3041589,Portero,4,https://www.futbolfantasy.com/jugadores/diego-conde,0%,0,0
Hugo Sotelo,0,1382803,1382803,1382803,Mediocampista,10,https://www.futbolfantasy.com/jugadores/hugo-sotelo,50%,-1,0
Manu Sanchez,0,5538185,5538185,5538185,Defensa,10,https://www.futbolfantasy.com/jugadores/manu-sanchez,70%,-1,0
Fran Garcia,0,9591157,9591157,9591157,Defensa,4,https://www.futbolfantasy.com/jugadores/fran-garcia,0%,-1,0
Ruben Montero,0,602316,602316,602316,Portero,28,https://www.futbolfantasy.com/jugadores/ruben-montero,0%,-1,0
Jon Pacheco,0,4015452,4015452,4015452,Defensa,16,https://www.futbolfantasy.com/jugadores/jon-pacheco,0%,2,0
Gregoire Swiderski,0,602316,602316,602316,Portero,28,https://www.futbolfantasy.com/jugadores/gregoire-swiderski,0%,-1,0
Lander Pinillos,0,501929,501929,501929,Mediocampista,28,https://www.futbolfantasy.com/jugadores/lander-pinillos,0%,-1,0
Carlos Ballestero,0,602316,602316,602316,Defensa,28,https://www.futbolfantasy.com/jugadores/carlos-ballestero,0%,-1,0
Alvaro Garcia,0,501929,501929,501929,Defensa,22,https://www.futbolfantasy.com/jugadores/alvaro-garcia,70%,-1,0
Xanet Olaiz,0,602316,602316,602316,Defensa,28,https://www.futbolfantasy.com/jugadores/xanet-olaiz,20%,-1,0
Izei Hernandez,0,582010,582010,582010,Mediocampista,28,https://www.futbolfantasy.com/jugadores/izei-hernandez,0%,-1,0
David Otorbi,0,601574,602292,602292,Delantero,18,https://www.futbolfantasy.com/jugadores/david-otorbi,0%,-1,0
Job Ochieng,0,701836,702633,702633,Mediocampista,16,https://www.futbolfantasy.com/jugadores/job-ochieng,10%,-1,0
Manu Gonzalez,0,581040,581691,581691,Portero,4,https://www.futbolfantasy.com/jugadores/manu-gonzalez,5%,-1,0
Adrian Riquelme,0,601574,602324,602324,Mediocampista,8,https://www.futbolfantasy.com/jugadores/adrian-riquelme,0%,-1,0
Dani Mesonero,0,701836,702606,702606,Mediocampista,15,https://www.futbolfantasy.com/jugadores/dani-mesonero,0%,-1,0
Lamini Fati,0,677197,677955,677955,Defensa,15,https://www.futbolfantasy.com/jugadores/lamini-fati,0%,-1,0
Andres Antañon,0,581040,581700,581700,Mediocampista,5,https://www.futbolfantasy.com/jugadores/andres-antañon,0%,-1,0
Quique Teijo,0,601574,602257,602257,Defensa,6,https://www.futbolfantasy.com/jugadores/quique-teijo,0%,-1,0
Javi Morcillo,0,701836,702702,702702,Mediocampista,21,https://www.futbolfantasy.com/jugadores/javi-morcillo,0%,-1,0
Miguel Cubo,0,601574,602316,602316,Delantero,2,https://www.futbolfantasy.com/jugadores/miguel-cubo,0%,-1,0
Hugo Rios,0,902361,903386,903386,Portero,6,https://www.futbolfantasy.com/jugadores/hugo-rios,0%,-1,0
Manuel Angel,0,701836,702606,702606,Mediocampista,15,https://www.futbolfantasy.com/jugadores/manuel-angel,0%,-1,0
Damian Canedo,0,601574,602257,602257,Defensa,6,https://www.futbolfantasy.com/jugadores/damian-canedo,0%,-1,0
Samu Fernandez,0,701836,702633,702633,Defensa,6,https://www.futbolfantasy.com/jugadores/samu-fernandez,0%,-1,0
Hugo Burcio,0,601574,602257,602257,Mediocampista,5,https://www.futbolfantasy.com/jugadores/hugo-burcio,0%,-1,0
Kazunari Kita,0,601574,602234,602234,Defensa,671,https://www.futbolfantasy.com/jugadores/kazunari-kita,0%,-1,0
Joselillo Gaitan,0,601574,602292,602292,Mediocampista,22,https://www.futbolfantasy.com/jugadores/joselillo-gaitan,0%,-1,0
Joel Fontanet,0,581293,581987,581987,Defensa,18,https://www.futbolfantasy.com/jugadores/joel-fontanet,0%,-1,0
Ibai Aguirre,0,601574,602257,602257,Mediocampista,671,https://www.futbolfantasy.com/jugadores/ibai-aguirre,0%,-1,0
Lander Astiazaran,0,601574,602257,602257,Mediocampista,671,https://www.futbolfantasy.com/jugadores/lander-astiazaran,0%,-1,0
Ruben Lopez,0,501311,501880,501880,Mediocampista,6,https://www.futbolfantasy.com/jugadores/ruben-lopez,0%,-1,0
Kareem Tunde,0,8522316,8531892,8531892,Mediocampista,10,https://www.futbolfantasy.com/jugadores/kareem-tunde,40%,-1,0
Ferran Gomez,0,601574,602248,602248,Mediocampista,7,https://www.futbolfantasy.com/jugadores/ferran-gomez,0%,-1,0
Jorge Montes,0,601574,602319,602319,Defensa,8,https://www.futbolfantasy.com/jugadores/jorge-montes,0%,-1,0
Jorge Cestero,0,601574,602234,602234,Mediocampista,15,https://www.futbolfantasy.com/jugadores/jorge-cestero,0%,-1,0
Angel Arcos,0,601574,602257,602257,Mediocampista,5,https://www.futbolfantasy.com/jugadores/angel-arcos,0%,-1,0
Tomas Marques,0,601574,602319,602319,Defensa,3,https://www.futbolfantasy.com/jugadores/tomas-marques,0%,-1,0
Asier Hierro,0,601574,602257,602257,Delantero,1,https://www.futbolfantasy.com/jugadores/asier-hierro,0%,-1,0
Iker Muñoz,0,601574,602284,602284,Defensa,17,https://www.futbolfantasy.com/jugadores/iker-muñoz,0%,-1,0
Joan Martinez,0,701836,702622,702622,Defensa,15,https://www.futbolfantasy.com/jugadores/joan-martinez,0%,-1,0
Unai Santos,0,601574,602319,602319,Defensa,13,https://www.futbolfantasy.com/jugadores/unai-santos,0%,-1,0
Noe Carrillo,0,701836,702633,702633,Mediocampista,6,https://www.futbolfantasy.com/jugadores/noe-carrillo,0%,0,0
Angel Recio,0,751968,752810,752810,Defensa,11,https://www.futbolfantasy.com/jugadores/angel-recio,50%,-1,0
Bil Nsongo,0,6517065,6524473,6524473,Delantero,6,https://www.futbolfantasy.com/jugadores/bil-nsongo,60%,-1,0
Diego Diaz,0,601574,602234,602234,Delantero,42,https://www.futbolfantasy.com/jugadores/diego-diaz,0%,-1,0
Andreas Christensen,0,5013126,5019340,5019340,Defensa,3,https://www.futbolfantasy.com/jugadores/andreas-christensen,50%,-1,0
Diego Rico,0,4912863,4918952,4918952,Defensa,13,https://www.futbolfantasy.com/jugadores/diego-rico,0%,-1,0
Gonzalo Villar,0,7018377,7027127,7027127,Mediocampista,21,https://www.futbolfantasy.com/jugadores/gonzalo-villar,90%,-1,0
Aitor Fraga,0,601574,602234,602234,Portero,16,https://www.futbolfantasy.com/jugadores/aitor-fraga,0%,-1,0
Adria Pedrosa,0,3308663,3312788,3312788,Defensa,17,https://www.futbolfantasy.com/jugadores/adria-pedrosa,0%,-1,0
Manu Bueno,0,802099,802099,802099,Mediocampista,17,https://www.futbolfantasy.com/jugadores/manu-bueno,40%,-1,0
Ruben Iranzo,0,601574,602292,602292,Defensa,18,https://www.futbolfantasy.com/jugadores/ruben-iranzo,10%,2,0
Carlos Martin,0,2215971,2218490,2218490,Mediocampista,2,https://www.futbolfantasy.com/jugadores/carlos-martin,10%,-1,0
Iker Losada,0,2506562,2509378,2509378,Delantero,4,https://www.futbolfantasy.com/jugadores/iker-losada,0%,-1,0
Alex Padilla,0,1503937,1505588,1505588,Portero,1,https://www.futbolfantasy.com/jugadores/alex-padilla,10%,-1,0
Diego Ferrer,0,701836,702705,702705,Portero,8,https://www.futbolfantasy.com/jugadores/diego-ferrer,0%,-1,0
Jon Martin,0,30078766,30111790,30111790,Defensa,16,https://www.futbolfantasy.com/jugadores/jon-martin,90%,-1,0
Andres Vallecillo,0,677197,677940,677940,Mediocampista,42,https://www.futbolfantasy.com/jugadores/andres-vallecillo,0%,-1,0
Miguel Angel Santaella,0,401049,401498,401498,Defensa,11,https://www.futbolfantasy.com/jugadores/miguel-angel-santaella,0%,-1,0
Santi Franco,0,701836,702606,702606,Delantero,42,https://www.futbolfantasy.com/jugadores/santi-franco,0%,-1,0
Abiel Osorio,0,1403675,1405425,1405425,Delantero,21,https://www.futbolfantasy.com/jugadores/abiel-osorio,0%,-1,0
Mario Solorzano,0,601574,602234,602234,Mediocampista,42,https://www.futbolfantasy.com/jugadores/mario-solorzano,0%,-1,0
Sergio Martinez,0,701836,702606,702606,Mediocampista,42,https://www.futbolfantasy.com/jugadores/sergio-martinez,0%,-1,0
Aitor Crespo,0,802099,802979,802979,Defensa,42,https://www.futbolfantasy.com/jugadores/aitor-crespo,0%,-1,0
Carlos Sanchez,0,701836,702606,702606,Defensa,42,https://www.futbolfantasy.com/jugadores/carlos-sanchez,0%,-1,0
Laro Gomez,0,601574,602234,602234,Portero,42,https://www.futbolfantasy.com/jugadores/laro-gomez,0%,-1,0
Alvaro Jimenez,0,601574,602234,602234,Portero,42,https://www.futbolfantasy.com/jugadores/alvaro-jimenez,0%,-1,0
Juanpe Jimenez,0,581293,581931,581931,Mediocampista,11,https://www.futbolfantasy.com/jugadores/juanpe-jimenez,20%,1,0
Aaron Ochoa,0,3509188,3513040,3513040,Mediocampista,11,https://www.futbolfantasy.com/jugadores/aaron-ochoa,0%,2,1
Rafa Rodriguez,0,6263550,6270426,6270426,Mediocampista,11,https://www.futbolfantasy.com/jugadores/rafa-rodriguez,60%,-1,0
Moussa Diarra,0,401049,401498,401498,Defensa,11,https://www.futbolfantasy.com/jugadores/moussa-diarra,0%,1,0
Pablo Arriaza,0,401049,401498,401498,Defensa,11,https://www.futbolfantasy.com/jugadores/pablo-arriaza,10%,-1,0
Gorka Carrera,0,701836,702633,702633,Delantero,16,https://www.futbolfantasy.com/jugadores/gorka-carrera,0%,-1,0
Rafa Garrido,0,5013126,5018744,5018744,Defensa,11,https://www.futbolfantasy.com/jugadores/rafa-garrido,50%,-1,0
Andres Cespedes,0,401049,401498,401498,Portero,11,https://www.futbolfantasy.com/jugadores/andres-cespedes,0%,-1,0
Carlos Macia,0,802099,803057,803057,Mediocampista,22,https://www.futbolfantasy.com/jugadores/carlos-macia,0%,-1,0
Alex Sanchez,0,601574,602324,602324,Mediocampista,21,https://www.futbolfantasy.com/jugadores/alex-sanchez,0%,-1,0
Pablo Roson,0,601574,602249,602249,Mediocampista,10,https://www.futbolfantasy.com/jugadores/pablo-roson,0%,-1,0
Adrian De La Fuente,0,14036756,14052528,14052528,Defensa,10,https://www.futbolfantasy.com/jugadores/adrian-de-la-fuente,90%,-1,0
Huseini Nakoha,0,501311,501874,501874,Defensa,10,https://www.futbolfantasy.com/jugadores/huseini-nakoha,0%,-1,0
Ismael Bekhoucha,0,1102887,1104254,1104254,Defensa,8,https://www.futbolfantasy.com/jugadores/ismael-bekhoucha,0%,-1,0
Iñigo Arguibide,0,581293,582013,582013,Defensa,13,https://www.futbolfantasy.com/jugadores/iñigo-arguibide,0%,-1,0
Adrian Molina,0,601574,602234,602234,Portero,14,https://www.futbolfantasy.com/jugadores/adrian-molina,0%,-1,0
Pol Fortuny,0,601574,602234,602234,Mediocampista,15,https://www.futbolfantasy.com/jugadores/pol-fortuny,0%,-1,0
Unai Vencedor,0,2205775,2208253,2208253,Mediocampista,1,https://www.futbolfantasy.com/jugadores/unai-vencedor,0%,-1,0
Jesus Fortea,0,802099,802099,802099,Defensa,15,https://www.futbolfantasy.com/jugadores/jesus-fortea,0%,-1,0
Rafael Romero,0,601574,602257,602257,Portero,17,https://www.futbolfantasy.com/jugadores/rafael-romero,0%,-1,0
Alejandro Rego,0,5013126,5018825,5018825,Defensa,1,https://www.futbolfantasy.com/jugadores/alejandro-rego,20%,-1,0
Salvi Esquivel,0,601574,602292,602292,Portero,2,https://www.futbolfantasy.com/jugadores/salvi-esquivel,0%,-1,0
Jofre Torrents,0,601574,602319,602319,Defensa,3,https://www.futbolfantasy.com/jugadores/jofre-torrents,0%,-1,0
Joselu Perez,0,601574,602319,602319,Delantero,8,https://www.futbolfantasy.com/jugadores/joselu-perez,0%,-1,0
Paco Cortes,0,802099,803000,803000,Delantero,10,https://www.futbolfantasy.com/jugadores/paco-cortes,40%,-1,0
Alejandro Primo,0,1102887,1104126,1104126,Portero,10,https://www.futbolfantasy.com/jugadores/alejandro-primo,0%,1,0
Jozhua Vertrouwd,0,1002625,1003725,1003725,Defensa,14,https://www.futbolfantasy.com/jugadores/jozhua-vertrouwd,30%,-1,0
Pablo Garcia,0,2506562,2509371,2509371,Delantero,4,https://www.futbolfantasy.com/jugadores/pablo-garcia,0%,-1,0
Arkaitz Mariezkurrena,0,677197,677966,677966,Delantero,16,https://www.futbolfantasy.com/jugadores/arkaitz-mariezkurrena,0%,-1,0
Alejandro Iturbe,0,802099,802099,802099,Portero,21,https://www.futbolfantasy.com/jugadores/alejandro-iturbe,10%,-1,0
Yoel Lago,0,701836,702633,702633,Defensa,5,https://www.futbolfantasy.com/jugadores/yoel-lago,40%,-1,0
Alberto Risco,0,701836,702705,702705,Mediocampista,8,https://www.futbolfantasy.com/jugadores/alberto-risco,30%,-1,0
Marco De La Sias,0,601574,602234,602234,Defensa,14,https://www.futbolfantasy.com/jugadores/marco-de-la-sias,0%,-1,0
Geronimo Spina,0,701836,702702,702702,Defensa,2,https://www.futbolfantasy.com/jugadores/geronimo-spina,0%,-1,0
Toni Fernandez,0,601574,602319,602319,Delantero,3,https://www.futbolfantasy.com/jugadores/toni-fernandez,0%,-1,0
Guille Fernandez,0,701836,702705,702705,Mediocampista,3,https://www.futbolfantasy.com/jugadores/guille-fernandez,0%,-1,0
Jones El-Abdellaoui,0,1303412,1304893,1304893,Delantero,5,https://www.futbolfantasy.com/jugadores/jones-el-abdellaoui,10%,-1,0
Sergio Mestre,0,677102,677860,677860,Portero,15,https://www.futbolfantasy.com/jugadores/sergio-mestre,0%,-1,0
Diego Aguado,0,773243,774109,774109,Defensa,15,https://www.futbolfantasy.com/jugadores/diego-aguado,0%,-1,0
David Jimenez,0,601574,602248,602248,Defensa,15,https://www.futbolfantasy.com/jugadores/david-jimenez,0%,-1,0
Jean Ives Valou,0,601574,602292,602292,Defensa,8,https://www.futbolfantasy.com/jugadores/jean-ives-valou,20%,-1,0
Rayane Belaid,0,677197,678006,678006,Delantero,2,https://www.futbolfantasy.com/jugadores/rayane-belaid,0%,-1,0
Angel Ortiz,0,1704462,1706372,1706372,Defensa,4,https://www.futbolfantasy.com/jugadores/angel-ortiz,0%,-1,0
Asier Osambela,0,501311,501932,501932,Mediocampista,13,https://www.futbolfantasy.com/jugadores/asier-osambela,10%,-1,0
Juanpe Gil,0,601574,602234,602234,Portero,14,https://www.futbolfantasy.com/jugadores/juanpe-gil,0%,-1,0
Daniel Yañez,0,701836,702606,702606,Delantero,15,https://www.futbolfantasy.com/jugadores/daniel-yañez,0%,-1,0
Samu Becerra,0,581040,581700,581700,Mediocampista,14,https://www.futbolfantasy.com/jugadores/samu-becerra,0%,-1,0
Albert Niculaesei,0,802099,803099,803099,Defensa,21,https://www.futbolfantasy.com/jugadores/albert-niculaesei,0%,-1,0
Mauro Echegoyen,0,561590,562286,562286,Mediocampista,13,https://www.futbolfantasy.com/jugadores/mauro-echegoyen,0%,-1,0
Alex Lebarbier,0,601574,602234,602234,Defensa,16,https://www.futbolfantasy.com/jugadores/alex-lebarbier,0%,-1,0
Nordin Al Lal,0,501311,501936,501936,Delantero,21,https://www.futbolfantasy.com/jugadores/nordin-al-lal,0%,-1,0
Oscar Marcos,0,601574,602257,602257,Mediocampista,5,https://www.futbolfantasy.com/jugadores/oscar-marcos,0%,-1,0
Pablo Meixus,0,484821,485372,485372,Defensa,5,https://www.futbolfantasy.com/jugadores/pablo-meixus,0%,-1,0
Selton Sanchez,0,601574,602257,602257,Mediocampista,1,https://www.futbolfantasy.com/jugadores/selton-sanchez,10%,-1,0
David Delgado,0,601574,602324,602324,Defensa,21,https://www.futbolfantasy.com/jugadores/david-delgado,0%,-1,0
Mahamoud Barry,0,601574,602292,602292,Mediocampista,22,https://www.futbolfantasy.com/jugadores/mahamoud-barry,0%,-1,0
Luken Beitia,0,501311,501861,501861,Defensa,16,https://www.futbolfantasy.com/jugadores/luken-beitia,20%,-1,0
Eder Aller,0,701836,702705,702705,Portero,3,https://www.futbolfantasy.com/jugadores/eder-aller,0%,-1,0
Javi Navarro,0,701836,702622,702622,Portero,15,https://www.futbolfantasy.com/jugadores/javi-navarro,0%,-1,0
Mykyta Aleksandrov,0,601574,602319,602319,Delantero,8,https://www.futbolfantasy.com/jugadores/mykyta-aleksandrov,0%,-1,0
Jorge Benito,0,601574,602319,602319,Portero,8,https://www.futbolfantasy.com/jugadores/jorge-benito,0%,-1,0
Xavi Espart,0,701836,702705,702705,Defensa,3,https://www.futbolfantasy.com/jugadores/xavi-espart,0%,-1,0
Juan Hernandez,0,581040,581760,581760,Mediocampista,3,https://www.futbolfantasy.com/jugadores/juan-hernandez,0%,-1,0
Adrian Perez,0,601574,602257,602257,Delantero,1,https://www.futbolfantasy.com/jugadores/adrian-perez,0%,-1,0
Yassin Tallal,0,501311,501932,501932,Defensa,8,https://www.futbolfantasy.com/jugadores/yassin-tallal,0%,-1,0
Alex Marchal,0,601574,602234,602234,Mediocampista,16,https://www.futbolfantasy.com/jugadores/alex-marchal,0%,-1,0
Thiago Pitarch,0,7018377,7026082,7026082,Mediocampista,15,https://www.futbolfantasy.com/jugadores/thiago-pitarch,0%,0,0
Theo Folgado,0,701836,702606,702606,Portero,16,https://www.futbolfantasy.com/jugadores/theo-folgado,0%,-1,0
Ivan Corralejo,0,601574,602248,602248,Mediocampista,4,https://www.futbolfantasy.com/jugadores/ivan-corralejo,0%,-1,0
Nacho Perez,0,581040,581692,581692,Defensa,10,https://www.futbolfantasy.com/jugadores/nacho-perez,0%,-1,0
Edu Altozano,0,601574,602284,602284,Mediocampista,17,https://www.futbolfantasy.com/jugadores/edu-altozano,0%,-1,0
Miguel Sierra,0,601574,602284,602284,Delantero,17,https://www.futbolfantasy.com/jugadores/miguel-sierra,70%,-1,0
Aimar Blazquez,0,580962,581656,581656,Delantero,18,https://www.futbolfantasy.com/jugadores/aimar-blazquez,0%,-1,0
Mathew Ryan,0,13535444,13550652,13550652,Portero,10,https://www.futbolfantasy.com/jugadores/mathew-ryan,0%,-1,0
Alex Costa,0,601574,602284,602284,Delantero,17,https://www.futbolfantasy.com/jugadores/alex-costa,0%,-1,0
Alejandro Panach,0,501311,501909,501909,Defensa,18,https://www.futbolfantasy.com/jugadores/alejandro-panach,0%,-1,0
Marcos Navarro,0,501311,501909,501909,Defensa,18,https://www.futbolfantasy.com/jugadores/marcos-navarro,0%,-1,0
Martin Krug,0,601574,602249,602249,Defensa,10,https://www.futbolfantasy.com/jugadores/martin-krug,0%,-1,0
Mikel Santos,0,701836,702606,702606,Portero,1,https://www.futbolfantasy.com/jugadores/mikel-santos,0%,-1,0
Adam Boayar,0,701836,702711,702711,Mediocampista,21,https://www.futbolfantasy.com/jugadores/adam-boayar,0%,1,0
Taufik Seidu,0,601574,602316,602316,Mediocampista,2,https://www.futbolfantasy.com/jugadores/taufik-seidu,0%,-1,0
Antonio Martinez Bastida,0,601574,602324,602324,Mediocampista,21,https://www.futbolfantasy.com/jugadores/antonio-martinez-bastida,0%,-1,0
Marc Jurado,0,601574,602292,602292,Defensa,18,https://www.futbolfantasy.com/jugadores/marc-jurado,0%,-1,0
Iker Monreal,0,601574,602257,602257,Defensa,1,https://www.futbolfantasy.com/jugadores/iker-monreal,0%,-1,0
Thiago Fernandez,0,1660575,0,0,Mediocampista,10,https://www.futbolfantasy.com/jugadores/thiago-fernandez,30%,-1,0
Javi Lopez,0,1656670,0,0,Defensa,16,https://www.futbolfantasy.com/jugadores/javi-lopez,0%,-1,0
Thomas Lemar,0,1680630,0,0,Mediocampista,2,https://www.futbolfantasy.com/jugadores/thomas-lemar,0%,2,0
Hugo Rincon,0,1658593,0,0,Defensa,1,https://www.futbolfantasy.com/jugadores/hugo-rincon,40%,-1,0
Mikel Goti,0,590263,0,0,Mediocampista,16,https://www.futbolfantasy.com/jugadores/mikel-goti,0%,-1,0
Ali Houary,0,592065,0,0,Delantero,21,https://www.futbolfantasy.com/jugadores/ali-houary,0%,-1,0
Javier Hernandez,0,575023,0,0,Delantero,7,https://www.futbolfantasy.com/jugadores/javier-hernandez,0%,-1,0
Rafel Bauza,0,318649,0,0,Mediocampista,7,https://www.futbolfantasy.com/jugadores/rafel-bauza,20%,-1,0
Pablo Lopez,0,441041,0,0,Delantero,18,https://www.futbolfantasy.com/jugadores/pablo-lopez,0%,-1,0
Alberto Mari,0,787986,0,0,Delantero,18,https://www.futbolfantasy.com/jugadores/alberto-mari,0%,0,0
Roger Hinojo,0,317496,0,0,Defensa,7,https://www.futbolfantasy.com/jugadores/roger-hinojo,70%,-1,0
Raul De Tomas,0,3229388,0,0,Delantero,14,https://www.futbolfantasy.com/jugadores/raul-de-tomas,0%,-1,0
Eneko Ortiz,0,1718986,0,0,Defensa,22,https://www.futbolfantasy.com/jugadores/eneko-ortiz,0%,-1,0
Raul Jimenez,0,1561503,0,0,Portero,18,https://www.futbolfantasy.com/jugadores/raul-jimenez,0%,-1,0
Alberto Collado,0,1718988,0,0,Mediocampista,17,https://www.futbolfantasy.com/jugadores/alberto-collado,0%,-1,0
Aron Yaakobishvili,0,1639280,0,0,Portero,3,https://www.futbolfantasy.com/jugadores/aron-yaakobishvili,0%,-1,0
Llorenç Serred,0,1731552,0,0,Portero,7,https://www.futbolfantasy.com/jugadores/llorenç-serred,0%,-1,0
Coke Carrillo,0,1567556,0,0,Portero,5,https://www.futbolfantasy.com/jugadores/coke-carrillo,0%,-1,0
Etienne Eto'O,0,1718988,0,0,Delantero,14,https://www.futbolfantasy.com/jugadores/etienne-eto'o,0%,-1,0
Iker Cordoba,0,1548667,0,0,Defensa,18,https://www.futbolfantasy.com/jugadores/iker-cordoba,10%,-1,0
Arnau Sola,0,1640523,0,0,Defensa,2,https://www.futbolfantasy.com/jugadores/arnau-sola,0%,-1,0
Peio Canales,0,1623251,0,0,Delantero,1,https://www.futbolfantasy.com/jugadores/peio-canales,0%,-1,0
Ismael Santana,0,1723821,0,0,Delantero,18,https://www.futbolfantasy.com/jugadores/ismael-santana,0%,-1,0
Djordjije Medenica,0,1560264,0,0,Portero,8,https://www.futbolfantasy.com/jugadores/djordjije-medenica,0%,-1,0
Carlos Gimenez,0,1718547,0,0,Defensa,2,https://www.futbolfantasy.com/jugadores/carlos-gimenez,0%,-1,0
Isra Dominguez,0,1718237,0,0,Delantero,17,https://www.futbolfantasy.com/jugadores/isra-dominguez,0%,-1,0
Pablo Busto,0,1621161,0,0,Defensa,4,https://www.futbolfantasy.com/jugadores/pablo-busto,0%,-1,0
Hugo De Llanos,0,1622168,0,0,Mediocampista,15,https://www.futbolfantasy.com/jugadores/hugo-de-llanos,0%,-1,0
Iñaki Ruperez,0,1626247,0,0,Defensa,16,https://www.futbolfantasy.com/jugadores/iñaki-ruperez,0%,-1,0
Jon Balda,0,1718912,0,0,Defensa,16,https://www.futbolfantasy.com/jugadores/jon-balda,0%,-1,0
Aingeru Olabarrieta,0,1717797,0,0,Delantero,1,https://www.futbolfantasy.com/jugadores/aingeru-olabarrieta,0%,-1,0
Mario Rivas,0,1718751,0,0,Defensa,15,https://www.futbolfantasy.com/jugadores/mario-rivas,0%,-1,0
Vicent Abril,0,1728051,0,0,Portero,18,https://www.futbolfantasy.com/jugadores/vicent-abril,0%,-1,0
Dani Requena,0,1621683,0,0,Mediocampista,10,https://www.futbolfantasy.com/jugadores/dani-requena,10%,-1,0
Alvaro Cortes,0,1718327,0,0,Defensa,3,https://www.futbolfantasy.com/jugadores/alvaro-cortes,0%,-1,0
Aissa Mandi,0,1879755,0,0,Defensa,10,https://www.futbolfantasy.com/jugadores/aissa-mandi,90%,-1,0
Joseda Alvarez,0,300000,0,0,Defensa,28,https://www.futbolfantasy.com/jugadores/joseda-alvarez,0%,-1,0
Selu Diallo,0,1000000,0,0,Mediocampista,28,https://www.futbolfantasy.com/jugadores/selu-diallo,0%,-1,0
Tomas Mendes,0,500000,0,0,Mediocampista,28,https://www.futbolfantasy.com/jugadores/tomas-mendes,0%,-1,0
Ian Forns,0,500000,0,0,Defensa,4,https://www.futbolfantasy.com/jugadores/ian-forns,0%,-1,0
Mario Gonzalez,0,760408,0,0,Mediocampista,18,https://www.futbolfantasy.com/jugadores/mario-gonzalez,0%,-1,0
