jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,propietario,fecha,diferencia_valor_fmt,valor_actual_fmt,valor_anterior_fmt,puja_maxima_rentable_fmt
Hugo Rincon,-29567,1036539,1066106,1255412,,2025-09-03,-29.567,1.036.539,1.066.106,1.255.412
Aitor Fernandez,-29693,1039575,1069268,1258352,,2025-09-03,-29.693,1.039.575,1.069.268,1.258.352
Manuel Morlanes,-30108,1149736,1179844,1385365,,2025-09-03,-30.108,1.149.736,1.179.844,1.385.365
Adria Pedrosa,-30136,1205711,1235847,1461369,,2025-09-03,-30.136,1.205.711,1.235.847,1.461.369
Luka Ilic,-30570,1752860,1783430,2002353,,2025-09-03,-30.570,1.752.860,1.783.430,2.002.353
Denis Suarez,-31239,1211803,1243042,1448340,,2025-09-03,-31.239,1.211.803,1.243.042,1.448.340
Eray Comert,-31352,1079378,1110730,1328492,,2025-09-03,-31.352,1.079.378,1.110.730,1.328.492
Pep Chavarria,-32028,3603419,3635447,3517088,,2025-09-03,-32.028,3.603.419,3.635.447,3.517.088
Mikel Vesga,-32424,1154988,1187412,1384706,,2025-09-03,-32.424,1.154.988,1.187.412,1.384.706
Calebe Gonçalves,-32659,1110748,1143407,1334073,,2025-09-03,-32.659,1.110.748,1.143.407,1.334.073
 Ali Houary,-32683,1111330,1144013,1351929,,2025-09-03,-32.683,1.111.330,1.144.013,1.351.929
Antonio Sanchez,-32691,1111527,1144218,1355967,,2025-09-03,-32.691,1.111.527,1.144.218,1.355.967
Horatiu Moldovan,-33096,1121230,1154326,1370629,,2025-09-03,-33.096,1.121.230,1.154.326,1.370.629
Pau Navarro,-33374,1127916,1161290,1389697,,2025-09-03,-33.374,1.127.916,1.161.290,1.389.697
Jones El-Abdellaoui,-33571,1132631,1166202,1393622,,2025-09-03,-33.571,1.132.631,1.166.202,1.393.622
Juan Carlos Martin,-34430,1153246,1187676,1411358,,2025-09-03,-34.430,1.153.246,1.187.676,1.411.358
Nico Serrano,-34619,1157812,1192431,1431544,,2025-09-03,-34.619,1.157.812,1.192.431,1.431.544
Javi Lopez,-35078,1283518,1318596,1566459,,2025-09-03,-35.078,1.283.518,1.318.596,1.566.459
Lucas Ahijado,-35453,1177800,1213253,1458901,,2025-09-03,-35.453,1.177.800,1.213.253,1.458.901
Randy Nteka,-36217,1196145,1232362,1435447,,2025-09-03,-36.217,1.196.145,1.232.362,1.435.447
Jon Karrikaburu,-36258,1197116,1233374,1481775,,2025-09-03,-36.258,1.197.116,1.233.374,1.481.775
Oscar Valentin,-36523,1273702,1310225,1573021,,2025-09-03,-36.523,1.273.702,1.310.225,1.573.021
Jofre Carreras,-36532,1203696,1240228,1476618,,2025-09-03,-36.532,1.203.696,1.240.228,1.476.618
Marash Kumbulla,-36555,2151844,2188399,2337858,,2025-09-03,-36.555,2.151.844,2.188.399,2.337.858
Dro FernáNdez,-36615,1314827,1351442,1572109,,2025-09-03,-36.615,1.314.827,1.351.442,1.572.109
Juan Iglesias,-37207,2385152,2422359,2317062,,2025-09-03,-37.207,2.385.152,2.422.359,2.317.062
Pedro Diaz,-37296,2107251,2144547,2396446,,2025-09-03,-37.296,2.107.251,2.144.547,2.396.446
Urko Izeta,-37754,1233029,1270783,1530666,,2025-09-03,-37.754,1.233.029,1.270.783,1.530.666
Roger Brugue,-38817,1542902,1581719,1718773,,2025-09-03,-38.817,1.542.902,1.581.719,1.718.773
Kwasi Sibo,-38918,1752600,1791518,1902858,,2025-09-03,-38.918,1.752.600,1.791.518,1.902.858
Leo Roman,-40566,6490898,6531464,6414592,Swedish,2025-09-03,-40.566,6.490.898,6.531.464,6.414.592
Abel Ruiz,-41226,1316362,1357588,1643861,,2025-09-03,-41.226,1.316.362,1.357.588,1.643.861
Salomon Rondon,-41531,1726530,1768061,1944555,,2025-09-03,-41.531,1.726.530,1.768.061,1.944.555
Ilias Akhomach,-41653,1632530,1674183,1875998,,2025-09-03,-41.653,1.632.530,1.674.183,1.875.998
Logan Costa,-42913,1356851,1399764,1697594,,2025-09-03,-42.913,1.356.851,1.399.764,1.697.594
Samu Costa,-43594,2057892,2101486,2453202,,2025-09-03,-43.594,2.057.892,2.101.486,2.453.202
Alfonso Espino,-43997,1381159,1425156,1694327,,2025-09-03,-43.997,1.381.159,1.425.156,1.694.327
Peque,-44250,1394997,1439247,1710817,,2025-09-03,-44.250,1.394.997,1.439.247,1.710.817
Aritz Elustondo,-44414,1392692,1437106,1706706,,2025-09-03,-44.414,1.392.692,1.437.106,1.706.706
Williot Swedberg,-45200,1439621,1484821,1757682,,2025-09-03,-45.200,1.439.621,1.484.821,1.757.682
Jorge Herrando,-45375,1415954,1461329,1748809,,2025-09-03,-45.375,1.415.954,1.461.329,1.748.809
Jose Manuel Copete,-45438,3772409,3817847,3581709,Enric,2025-09-03,-45.438,3.772.409,3.817.847,3.581.709
Alex Padilla,-45473,1418294,1463767,1745047,,2025-09-03,-45.473,1.418.294,1.463.767,1.745.047
Raul Garcia,-46206,1500371,1546577,1827456,,2025-09-03,-46.206,1.500.371,1.546.577,1.827.456
Mathew Ryan,-46382,3174877,3221259,0,,2025-09-03,-46.382,3.174.877,3.221.259,0
Eric Bailly,-46860,1883097,1929957,2180533,,2025-09-03,-46.860,1.883.097,1.929.957,2.180.533
Mateu Morey,-46875,2091003,2137878,2164768,,2025-09-03,-46.875,2.091.003,2.137.878,2.164.768
Gerard Gumbau,-48001,1478953,1526954,1844551,,2025-09-03,-48.001,1.478.953,1.526.954,1.844.551
Willy Kambwala,-48162,1482828,1530990,1862135,,2025-09-03,-48.162,1.482.828,1.530.990,1.862.135
Tyrhys Dolan,-48271,3841640,3889911,4199216,,2025-09-03,-48.271,3.841.640,3.889.911,4.199.216
Iker Losada,-48544,1491977,1540521,1833941,,2025-09-03,-48.544,1.491.977,1.540.521,1.833.941
Aihen Muñoz,-48876,1791227,1840103,2103109,,2025-09-03,-48.876,1.791.227,1.840.103,2.103.109
Angel Ortiz,-49043,1802619,1851662,2221005,,2025-09-03,-49.043,1.802.619,1.851.662,2.221.005
Cristian Portu,-49226,1581705,1630931,1915414,,2025-09-03,-49.226,1.581.705,1.630.931,1.915.414
Carlos Benavidez,-51143,1558105,1609248,1951703,,2025-09-03,-51.143,1.558.105,1.609.248,1.951.703
Santiago Colombatto,-51990,1577204,1629194,1963487,,2025-09-03,-51.990,1.577.204,1.629.194,1.963.487
Baptiste Santamaria,-52451,4242142,4294593,4697127,,2025-09-03,-52.451,4.242.142,4.294.593,4.697.127
Pablo Martinez,-52654,2198759,2251413,2362326,,2025-09-03,-52.654,2.198.759,2.251.413,2.362.326
Eder Militao,-52831,36882892,36935723,38460945,,2025-09-03,-52.831,36.882.892,36.935.723,38.460.945
Matias Moreno,-53150,1602524,1655674,2009028,,2025-09-03,-53.150,1.602.524,1.655.674,2.009.028
Jon Pacheco,-54642,1677597,1732239,2066874,,2025-09-03,-54.642,1.677.597,1.732.239,2.066.874
Unai Lopez,-55364,3171471,3226835,2966043,,2025-09-03,-55.364,3.171.471,3.226.835,2.966.043
Ander Guevara,-55969,1789339,1845308,2168349,,2025-09-03,-55.969,1.789.339,1.845.308,2.168.349
Joseph Aidoo,-56238,1676636,1732874,2102785,,2025-09-03,-56.238,1.676.636,1.732.874,2.102.785
Mateo Joseph,-56501,2722470,2778971,3161856,,2025-09-03,-56.501,2.722.470,2.778.971,3.161.856
Urko Gonzalez De Zarate,-56863,2147460,2204323,2562022,,2025-09-03,-56.863,2.147.460,2.204.323,2.562.022
Thibaut Courtois,-57011,70892932,70949943,68560316,,2025-09-03,-57.011,70.892.932,70.949.943,68.560.316
Dani Ceballos,-57886,2472790,2530676,2871055,,2025-09-03,-57.886,2.472.790,2.530.676,2.871.055
Donny Van De Beek,-58914,1744106,1803020,2198896,,2025-09-03,-58.914,1.744.106,1.803.020,2.198.896
Beñat Turrientes,-59249,2253028,2312277,2655741,,2025-09-03,-59.249,2.253.028,2.312.277,2.655.741
Takuma Asano,-60148,1819027,1879175,2239419,,2025-09-03,-60.148,1.819.027,1.879.175,2.239.419
Santi Comesaña,-60349,6338744,6399093,6531761,Adri,2025-09-03,-60.349,6.338.744,6.399.093,6.531.761
Arnau Tenas,-61944,3673304,3735248,0,,2025-09-03,-61.944,3.673.304,3.735.248,0
Adria Altimira,-62974,1846113,1909087,2318804,,2025-09-03,-62.974,1.846.113,1.909.087,2.318.804
Federico Viñas,-64976,2589531,2654507,3139320,,2025-09-03,-64.976,2.589.531,2.654.507,3.139.320
Alvaro Valles,-66779,12271027,12337806,12720312,,2025-09-03,-66.779,12.271.027,12.337.806,12.720.312
Sergio Camello,-67508,2218428,2285936,2693059,,2025-09-03,-67.508,2.218.428,2.285.936,2.693.059
Chimy Avila,-67732,2254683,2322415,2747027,,2025-09-03,-67.732,2.254.683,2.322.415,2.747.027
Marc Roca,-70263,2309904,2380167,2817076,,2025-09-03,-70.263,2.309.904,2.380.167,2.817.076
Ivan Balliu,-71039,2112604,2183643,2644436,,2025-09-03,-71.039,2.112.604,2.183.643,2.644.436
Nahuel Molina,-71232,2402499,2473731,2840448,,2025-09-03,-71.232,2.402.499,2.473.731,2.840.448
Arsen Zakharyan,-72398,2140035,2212433,2683217,,2025-09-03,-72.398,2.140.035,2.212.433,2.683.217
Kervin Arriaga,-72834,2168315,2241149,0,,2025-09-03,-72.834,2.168.315,2.241.149,0
Charles Pickel,-73061,2274809,2347870,0,,2025-09-03,-73.061,2.274.809,2.347.870,0
Christian Stuani,-73333,2312403,2385736,2799656,,2025-09-03,-73.333,2.312.403,2.385.736,2.799.656
Andriy Lunin,-74108,2427517,2501625,2948190,,2025-09-03,-74.108,2.427.517,2.501.625,2.948.190
Iñigo Lekue,-75094,2204432,2279526,2772667,,2025-09-03,-75.094,2.204.432,2.279.526,2.772.667
Arnau Martinez,-75379,2224721,2300100,2774168,,2025-09-03,-75.379,2.224.721,2.300.100,2.774.168
Jon Guridi,-75479,2971142,3046621,3353233,,2025-09-03,-75.479,2.971.142,3.046.621,3.353.233
Pablo Marin,-76131,3538567,3614698,4137036,,2025-09-03,-76.131,3.538.567,3.614.698,4.137.036
Thomas Lemar,-76795,3573396,3650191,4154610,,2025-09-03,-76.795,3.573.396,3.650.191,4.154.610
Jan Virgili,-77915,2532207,2610122,0,,2025-09-03,-77.915,2.532.207,2.610.122,0
David Hancko,-78037,25496580,25574617,23157287,,2025-09-03,-78.037,25.496.580,25.574.617,23.157.287
Josip Brekalo,-79413,2389257,2468670,2969510,,2025-09-03,-79.413,2.389.257,2.468.670,2.969.510
Sheraldo Becker,-79924,3523641,3603565,4363737,,2025-09-03,-79.924,3.523.641,3.603.565,4.363.737
Pablo Maffeo,-80225,2568683,2648908,3181484,,2025-09-03,-80.225,2.568.683,2.648.908,3.181.484
Clement Lenglet,-80428,4075415,4155843,4668099,,2025-09-03,-80.428,4.075.415,4.155.843,4.668.099
Djibril Sow,-80835,2480926,2561761,3064036,,2025-09-03,-80.835,2.480.926,2.561.761,3.064.036
Oscar Trejo,-81155,2455031,2536186,3045207,,2025-09-03,-81.155,2.455.031,2.536.186,3.045.207
Luiz Felipe,-81346,5269057,5350403,5893483,,2025-09-03,-81.346,5.269.057,5.350.403,5.893.483
Pablo Ibañez,-82912,2840185,2923097,3438732,,2025-09-03,-82.912,2.840.185,2.923.097,3.438.732
Ramon Terrats,-84941,3111994,3196935,3670553,Adri,2025-09-03,-84.941,3.111.994,3.196.935,3.670.553
Federico Redondo,-85193,2763960,2849153,3382267,,2025-09-03,-85.193,2.763.960,2.849.153,3.382.267
Maroan Sannadi,-85417,6296535,6381952,5711284,,2025-09-03,-85.417,6.296.535,6.381.952,5.711.284
Alan Matturro,-86818,2523304,2610122,0,,2025-09-03,-86.818,2.523.304,2.610.122,0
Alfonso Pedraza,-87029,2583945,2670974,3216750,,2025-09-03,-87.029,2.583.945,2.670.974,3.216.750
Marc Casado,-89633,3704703,3794336,4280427,,2025-09-03,-89.633,3.704.703,3.794.336,4.280.427
Martin Valjent,-91251,6986297,7077548,7327824,,2025-09-03,-91.251,6.986.297,7.077.548,7.327.824
David Alaba,-92458,2999279,3091737,3657785,,2025-09-03,-92.458,2.999.279,3.091.737,3.657.785
Endrick,-92458,3115116,3207574,3836798,,2025-09-03,-92.458,3.115.116,3.207.574,3.836.798
Lucas Boye,-93117,3000361,3093478,0,,2025-09-03,-93.117,3.000.361,3.093.478,0
Borja Mayoral,-94499,4387919,4482418,5211557,,2025-09-03,-94.499,4.387.919,4.482.418,5.211.557
Fran Beltran,-94716,3077070,3171786,3626698,,2025-09-03,-94.716,3.077.070,3.171.786,3.626.698
Cucho Hernandez,-94928,9636777,9731705,9676849,,2025-09-03,-94.928,9.636.777,9.731.705,9.676.849
Orri Steinn Oskarsson,-95009,5019913,5114922,4770941,Swedish,2025-09-03,-95.009,5.019.913,5.114.922,4.770.941
Andrei Ratiu,-95247,15471957,15567204,16318345,,2025-09-03,-95.247,15.471.957,15.567.204,16.318.345
Goduine Koyalipou,-95884,2892314,2988198,0,,2025-09-03,-95.884,2.892.314,2.988.198,0
Javi Galan,-97339,3030756,3128095,3684053,,2025-09-03,-97.339,3.030.756,3.128.095,3.684.053
Andoni Gorosabel,-99564,3086676,3186240,3819274,,2025-09-03,-99.564,3.086.676,3.186.240,3.819.274
Stole Dimitrievski,-99625,3105305,3204930,3827378,,2025-09-03,-99.625,3.105.305,3.204.930,3.827.378
Abde Ezzalzouli,-100185,3416331,3516516,4188688,,2025-09-03,-100.185,3.416.331,3.516.516,4.188.688
Marc Pubill,-100385,3126324,3226709,3866491,,2025-09-03,-100.385,3.126.324,3.226.709,3.866.491
Robert Navarro,-101267,4258456,4359723,4894466,,2025-09-03,-101.267,4.258.456,4.359.723,4.894.466
Thierry Correia,-101366,3046407,3147773,3831911,,2025-09-03,-101.366,3.046.407,3.147.773,3.831.911
Tani Oluwaseyi,-101847,4487172,4589019,0,,2025-09-03,-101.847,4.487.172,4.589.019,0
Carl Starfelt,-102137,3109963,3212100,3906414,,2025-09-03,-102.137,3.109.963,3.212.100,3.906.414
Mariano Diaz,-102961,3492678,3595639,4165990,,2025-09-03,-102.961,3.492.678,3.595.639,4.165.990
Adnan Januzaj,-103365,3044843,3148208,3846559,,2025-09-03,-103.365,3.044.843,3.148.208,3.846.559
Andreas Christensen,-105981,5731754,5837735,6697169,,2025-09-03,-105.981,5.731.754,5.837.735,6.697.169
Vedat Muriqi,-107203,20177248,20284451,22100401,,2025-09-03,-107.203,20.177.248,20.284.451,22.100.401
Diego Conde,-108290,3304490,3412780,4070836,,2025-09-03,-108.290,3.304.490,3.412.780,4.070.836
Aitor Ruibal,-108691,4602238,4710929,4133633,,2025-09-03,-108.691,4.602.238,4.710.929,4.133.633
Andre Silva,-108856,3811549,3920405,4512584,,2025-09-03,-108.856,3.811.549,3.920.405,4.512.584
Santi Cazorla,-109614,3808208,3917822,4613717,,2025-09-03,-109.614,3.808.208,3.917.822,4.613.717
Diego Javier Llorente,-110085,3959884,4069969,4856388,,2025-09-03,-110.085,3.959.884,4.069.969,4.856.388
Pau Lopez,-110861,6863274,6974135,7621184,,2025-09-03,-110.861,6.863.274,6.974.135,7.621.184
Aimar Oroz,-113440,15438318,15551758,15069299,,2025-09-03,-113.440,15.438.318,15.551.758,15.069.299
Jose Luis Morales,-116022,4908308,5024330,5260944,,2025-09-03,-116.022,4.908.308,5.024.330,5.260.944
Manu Sanchez,-117829,3919831,4037660,4514469,,2025-09-03,-117.829,3.919.831,4.037.660,4.514.469
Dani Rodriguez,-121199,3751628,3872827,4563860,,2025-09-03,-121.199,3.751.628,3.872.827,4.563.860
Nelson Deossa,-122230,4375426,4497656,5340185,,2025-09-03,-122.230,4.375.426,4.497.656,5.340.185
David Carmo,-122382,3933030,4055412,0,,2025-09-03,-122.382,3.933.030,4.055.412,0
Jon Martin,-122586,3679842,3802428,4512744,,2025-09-03,-122.586,3.679.842,3.802.428,4.512.744
Andre Almeida,-122746,3625641,3748387,4517118,,2025-09-03,-122.746,3.625.641,3.748.387,4.517.118
Kike Garcia,-124723,4697849,4822572,5676089,,2025-09-03,-124.723,4.697.849,4.822.572,5.676.089
Jon Aramburu,-127443,5995044,6122487,6511261,,2025-09-03,-127.443,5.995.044,6.122.487,6.511.261
Akor Adams,-134771,4474433,4609204,5450347,,2025-09-03,-134.771,4.474.433,4.609.204,5.450.347
Duje Caleta-Car,-135806,5605386,5741192,6737961,,2025-09-03,-135.806,5.605.386,5.741.192,6.737.961
Alberto Moleiro,-136112,17754166,17890278,17736967,,2025-09-03,-136.112,17.754.166,17.890.278,17.736.967
Valentin Gomez,-136396,4104451,4240847,5094421,,2025-09-03,-136.396,4.104.451,4.240.847,5.094.421
Ferland Mendy,-138585,4136543,4275128,5202797,,2025-09-03,-138.585,4.136.543,4.275.128,5.202.797
Gerard Martin,-140155,6263127,6403282,0,,2025-09-03,-140.155,6.263.127,6.403.282,0
Rodrygo Goes,-142307,17369441,17511748,16752515,,2025-09-03,-142.307,17.369.441,17.511.748,16.752.515
Filip Ugrinic,-142714,4218231,4360945,5234659,,2025-09-03,-142.714,4.218.231,4.360.945,5.234.659
David Lopez,-143742,4477210,4620952,5462316,,2025-09-03,-143.742,4.477.210,4.620.952,5.462.316
Brahim Diaz,-144624,19641770,19786394,18441787,,2025-09-03,-144.624,19.641.770,19.786.394,18.441.787
Umar Sadiq,-148371,4568874,4717245,5614662,,2025-09-03,-148.371,4.568.874,4.717.245,5.614.662
Florian Lejeune,-149045,15651838,15800883,16881788,,2025-09-03,-149.045,15.651.838,15.800.883,16.881.788
Odysseas Vlachodimos,-149928,5719747,5869675,0,,2025-09-03,-149.928,5.719.747,5.869.675,0
Koke Resurreccion,-155501,4812842,4968343,5944175,,2025-09-03,-155.501,4.812.842,4.968.343,5.944.175
Alex Moreno,-160236,5819984,5980220,6722646,,2025-09-03,-160.236,5.819.984,5.980.220,6.722.646
Iñigo Ruiz De Galarreta,-161874,9040247,9202121,8819455,,2025-09-03,-161.874,9.040.247,9.202.121,8.819.455
Jose Maria Gimenez,-167111,5073598,5240709,6371960,,2025-09-03,-167.111,5.073.598,5.240.709,6.371.960
Ferran Jutgla,-173876,8158776,8332652,8536285,,2025-09-03,-173.876,8.158.776,8.332.652,8.536.285
Marcos Alonso,-177708,12405915,12583623,12202211,,2025-09-03,-177.708,12.405.915,12.583.623,12.202.211
Ivan Martin,-178588,5815602,5994190,7187330,,2025-09-03,-178.588,5.815.602,5.994.190,7.187.330
Jude Bellingham,-180032,35813356,35993388,37954352,,2025-09-03,-180.032,35.813.356,35.993.388,37.954.352
Luka Sucic,-189137,5778490,5967627,7099337,,2025-09-03,-189.137,5.778.490,5.967.627,7.099.337
Luca Koleosho,-193569,5850816,6044385,7275034,,2025-09-03,-193.569,5.850.816,6.044.385,7.275.034
Marc-Andre Ter Stegen,-200515,6089660,6290175,7639898,,2025-09-03,-200.515,6.089.660,6.290.175,7.639.898
Cesar Azpilicueta,-200769,8763827,8964596,0,,2025-09-03,-200.769,8.763.827,8.964.596,0
Fran Garcia,-206816,6451693,6658509,8001702,,2025-09-03,-206.816,6.451.693,6.658.509,8.001.702
Sergi Darder,-208916,15509041,15717957,15932822,,2025-09-03,-208.916,15.509.041,15.717.957,15.932.822
Yangel Herrera,-210423,7806443,8016866,9549136,,2025-09-03,-210.423,7.806.443,8.016.866,9.549.136
Ruben Garcia,-218297,8533633,8751930,9974867,,2025-09-03,-218.297,8.533.633,8.751.930,9.974.867
Fermin Lopez,-229425,14834718,15064143,16793059,Carre,2025-09-03,-229.425,14.834.718,15.064.143,16.793.059
Gorka Guruzeta,-230199,7147122,7377321,8700212,,2025-09-03,-230.199,7.147.122,7.377.321,8.700.212
Iago Aspas,-232199,21638079,21870278,22962122,,2025-09-03,-232.199,21.638.079,21.870.278,22.962.122
Thomas Teye,-234839,9599014,9833853,11026294,,2025-09-03,-234.839,9.599.014,9.833.853,11.026.294
Sergio Gomez,-238539,7783630,8022169,9268568,,2025-09-03,-238.539,7.783.630,8.022.169,9.268.568
Raul Asencio,-238845,7591574,7830419,9378168,,2025-09-03,-238.845,7.591.574,7.830.419,9.378.168
Jose Gaya,-241729,9214789,9456518,11300301,,2025-09-03,-241.729,9.214.789,9.456.518,11.300.301
Daley Blind,-247681,7396828,7644509,9135233,,2025-09-03,-247.681,7.396.828,7.644.509,9.135.233
Ante Budimir,-254297,49307009,49561306,47303382,,2025-09-03,-254.297,49.307.009,49.561.306,47.303.382
Pedri Gonzalez,-259090,114404458,114663548,112200532,,2025-09-03,-259.090,114.404.458,114.663.548,112.200.532
Gonçalo Guedes,-265386,10280852,10546238,12052253,,2025-09-03,-265.386,10.280.852,10.546.238,12.052.253
Giacomo Raspadori,-268085,8495495,8763580,10444699,,2025-09-03,-268.085,8.495.495,8.763.580,10.444.699
Dani Parejo,-272990,8951542,9224532,10839140,,2025-09-03,-272.990,8.951.542,9.224.532,10.839.140
Gonzalo Garcia,-277750,9813465,10091215,11587805,,2025-09-03,-277.750,9.813.465,10.091.215,11.587.805
Axel Witsel,-277939,8852019,9129958,10973952,,2025-09-03,-277.939,8.852.019,9.129.958,10.973.952
Conor Gallagher,-278970,9461534,9740504,11459011,,2025-09-03,-278.970,9.461.534,9.740.504,11.459.011
Eduardo Camavinga,-285461,10335187,10620648,12522853,,2025-09-03,-285.461,10.335.187,10.620.648,12.522.853
Johan Mojica,-287579,10960779,11248358,12743679,,2025-09-03,-287.579,10.960.779,11.248.358,12.743.679
Pepelu,-288512,10759095,11047607,12247536,,2025-09-03,-288.512,10.759.095,11.047.607,12.247.536
Antonio Raillo,-304261,16154378,16458639,17789010,Adri,2025-09-03,-304.261,16.154.378,16.458.639,17.789.010
Ricardo Rodriguez,-318615,12268885,12587500,13946376,,2025-09-03,-318.615,12.268.885,12.587.500,13.946.376
Antonio Rudiger,-320170,22739986,23060156,21016459,,2025-09-03,-320.170,22.739.986,23.060.156,21.016.459
Brais Mendez,-335482,15767330,16102812,16822840,,2025-09-03,-335.482,15.767.330,16.102.812,16.822.840
Bryan Zaragoza,-338974,17929595,18268569,20716921,,2025-09-03,-338.974,17.929.595,18.268.569,20.716.921
Daniel Raba,-370774,16944040,17314814,17256905,,2025-09-03,-370.774,16.944.040,17.314.814,17.256.905
Gerard Moreno,-381157,11939670,12320827,14903615,,2025-09-03,-381.157,11.939.670,12.320.827,14.903.615
Paulo Gazzaniga,-382131,12553663,12935794,15206253,,2025-09-03,-382.131,12.553.663,12.935.794,15.206.253
Pablo Gavi,-386047,18899369,19285416,20521464,,2025-09-03,-386.047,18.899.369,19.285.416,20.521.464
Javi Puado,-391485,39480584,39872069,37736348,Enric,2025-09-03,-391.485,39.480.584,39.872.069,37.736.348
Matteo Ruggeri,-408407,16061596,16470003,17746723,Adri,2025-09-03,-408.407,16.061.596,16.470.003,17.746.723
Vitor Reis,-428258,13182492,13610750,16376809,,2025-09-03,-428.258,13.182.492,13.610.750,16.376.809
Viktor Tsygankov,-439970,13725626,14165596,16277411,,2025-09-03,-439.970,13.725.626,14.165.596,16.277.411
David Soria,-452931,26067963,26520894,27583166,,2025-09-03,-452.931,26.067.963,26.520.894,27.583.166
Pablo Barrios,-463248,33481209,33944457,35738115,,2025-09-03,-463.248,33.481.209,33.944.457,35.738.115
Frenkie De Jong,-486466,53365982,53852448,58120222,,2025-09-03,-486.466,53.365.982,53.852.448,58.120.222
Oscar Mingueza,-500335,22857599,23357934,26096442,,2025-09-03,-500.335,22.857.599,23.357.934,26.096.442
Iñaki Williams,-508108,46152757,46660865,51221603,,2025-09-03,-508.108,46.152.757,46.660.865,51.221.603
Renato Veiga,-512951,20291443,20804394,22539978,,2025-09-03,-512.951,20.291.443,20.804.394,22.539.978
Dani Vivian,-547724,40253112,40800836,42411690,,2025-09-03,-547.724,40.253.112,40.800.836,42.411.690
Unai Simon,-575085,38215975,38791060,40861138,,2025-09-03,-575.085,38.215.975,38.791.060,40.861.138
Alexander Sorloth,-594617,31785897,32380514,31474470,,2025-09-03,-594.617,31.785.897,32.380.514,31.474.470
Takefusa Kubo,-650386,60023838,60674224,60416316,,2025-09-03,-650.386,60.023.838,60.674.224,60.416.316
Johnny Cardoso,-664540,27723406,28387946,29937526,,2025-09-03,-664.540,27.723.406,28.387.946,29.937.526
Dani Olmo,-714745,40781440,41496185,45255516,,2025-09-03,-714.745,40.781.440,41.496.185,45.255.516
Alex Remiro,-723461,28701376,29424837,32566106,,2025-09-03,-723.461,28.701.376,29.424.837,32.566.106
Antoine Griezmann,-730708,30846859,31577567,35921345,,2025-09-03,-730.708,30.846.859,31.577.567,35.921.345
Ayoze Perez,-735132,39579551,40314683,43962125,,2025-09-03,-735.132,39.579.551,40.314.683,43.962.125
Marcos Llorente,-738809,31142538,31881347,35527234,,2025-09-03,-738.809,31.142.538,31.881.347,35.527.234
Marcus Rashford,-747621,36378365,37125986,40326178,,2025-09-03,-747.621,36.378.365,37.125.986,40.326.178
Robin Le Normand,-775606,30278737,31054343,34652763,,2025-09-03,-775.606,30.278.737,31.054.343,34.652.763
Ronald Araujo,-816474,29633586,30450060,31177179,,2025-09-03,-816.474,29.633.586,30.450.060,31.177.179
Jan Oblak,-884078,40804505,41688583,46193026,,2025-09-03,-884.078,40.804.505,41.688.583,46.193.026
Raphinha,-1027226,122286223,123313449,124059890,Enric,2025-09-03,-1.027.226,122.286.223,123.313.449,124.059.890
Trent Alexander-Arnold,-1072988,51120378,52193366,59242442,,2025-09-03,-1.072.988,51.120.378,52.193.366,59.242.442
Jules Kounde,-1118257,49149593,50267850,56454756,,2025-09-03,-1.118.257,49.149.593,50.267.850,56.454.756
Alejandro Balde,-1154513,53946074,55100587,61526463,,2025-09-03,-1.154.513,53.946.074,55.100.587,61.526.463
Isco Alarcon,-1345897,41972372,43318269,52429461,,2025-09-03,-1.345.897,41.972.372,43.318.269,52.429.461
Robert Lewandowski,-1410741,67560302,68971043,74339664,,2025-09-03,-1.410.741,67.560.302,68.971.043,74.339.664
Alex Baena,-1454800,55520753,56975553,67790789,,2025-09-03,-1.454.800,55.520.753,56.975.553,67.790.789
Pau Cubarsi,-1581810,65181363,66763173,73580097,,2025-09-03,-1.581.810,65.181.363,66.763.173,73.580.097
Julian Alvarez,-1862309,98364045,100226354,107506920,,2025-09-03,-1.862.309,98.364.045,100.226.354,107.506.920
