jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,propietario,fecha,diferencia_valor_fmt,valor_actual_fmt,valor_anterior_fmt,puja_maxima_rentable_fmt
Javi Rodriguez,-3373,679919,683292,723094,,2025-09-03,-3.373,679.919,683.292,723.094
Jeremy Toljan,-3585,2337471,2341056,2480837,,2025-09-03,-3.585,2.337.471,2.341.056,2.480.837
Yoel Lago,-3841,419122,422963,428434,Adri,2025-09-03,-3.841,419.122,422.963,428.434
Sergio Mestre,-3896,420443,424339,451604,,2025-09-03,-3.896,420.443,424.339,451.604
Mikel Oyarzabal,-4161,37653300,37657461,35616609,,2025-09-03,-4.161,37.653.300,37.657.461,35.616.609
Mawuli Mensah,-4364,431666,436030,466540,,2025-09-03,-4.364,431.666,436.030,466.540
David Otorbi,-4396,432427,436823,467552,,2025-09-03,-4.396,432.427,436.823,467.552
Alberto Risco,-4396,432427,436823,467552,,2025-09-03,-4.396,432.427,436.823,467.552
Pau Cabanes,-4396,432427,436823,467552,,2025-09-03,-4.396,432.427,436.823,467.552
Marc Domenech,-4396,432427,436823,467552,,2025-09-03,-4.396,432.427,436.823,467.552
Toni Fernandez,-4442,433537,437979,469029,,2025-09-03,-4.442,433.537,437.979,469.029
Diego Kochen,-4471,434263,438734,469676,,2025-09-03,-4.471,434.263,438.734,469.676
Unai Marrero,-4475,471967,476442,518168,,2025-09-03,-4.475,471.967,476.442,518.168
Vladyslav Krapyvtsov,-4509,435154,439663,449644,,2025-09-03,-4.509,435.154,439.663,449.644
Guille Fernandez,-4644,438386,443030,467657,,2025-09-03,-4.644,438.386,443.030,467.657
Ilias Kostis,-4996,446841,451837,486732,,2025-09-03,-4.996,446.841,451.837,486.732
Alberto Flores,-5143,450372,455515,491432,,2025-09-03,-5.143,450.372,455.515,491.432
Miguel Sierra,-5143,450372,455515,491432,,2025-09-03,-5.143,450.372,455.515,491.432
Yago Santiago,-5610,461581,467191,506349,,2025-09-03,-5.610,461.581,467.191,506.349
Victor Chust,-5779,1284341,1290120,1367045,,2025-09-03,-5.779,1.284.341,1.290.120,1.367.045
Jhon Solis,-6041,471922,477963,505002,,2025-09-03,-6.041,471.922,477.963,505.002
Joan Ruiz,-6402,480599,487001,531657,,2025-09-03,-6.402,480.599,487.001,531.657
Raul Fernandez,-6582,484913,491495,537398,,2025-09-03,-6.582,484.913,491.495,537.398
Ruben Sanchez,-6614,485672,492286,538407,,2025-09-03,-6.614,485.672,492.286,538.407
Diego Pampin,-6745,488804,495549,542577,,2025-09-03,-6.745,488.804,495.549,542.577
Ovie Ejaria,-6745,488804,495549,542577,,2025-09-03,-6.745,488.804,495.549,542.577
Lamine Gueye,-6745,488804,495549,542577,,2025-09-03,-6.745,488.804,495.549,542.577
Dani Perez,-6750,488942,495692,542759,,2025-09-03,-6.750,488.942,495.692,542.759
Cedric Bakambu,-6906,1946210,1953116,2200807,,2025-09-03,-6.906,1.946.210,1.953.116,2.200.807
Alejandro Iturbe,-6969,494187,501156,549739,,2025-09-03,-6.969,494.187,501.156,549.739
Alex Fores,-7153,498603,505756,555617,,2025-09-03,-7.153,498.603,505.756,555.617
Dani Cardenas,-7265,501282,508547,559180,,2025-09-03,-7.265,501.282,508.547,559.180
Cristian Rivero,-7470,506204,513674,565732,,2025-09-03,-7.470,506.204,513.674,565.732
Thiago Pitarch,-7913,516833,524746,578275,,2025-09-03,-7.913,516.833,524.746,578.275
Youssef Enriquez,-8169,522984,531153,588061,,2025-09-03,-8.169,522.984,531.153,588.061
Jesus Fortea,-8452,529775,538227,597099,,2025-09-03,-8.452,529.775,538.227,597.099
Marcao,-9081,544884,553965,617205,,2025-09-03,-9.081,544.884,553.965,617.205
Marco Esteban,-9094,545186,554280,617607,,2025-09-03,-9.094,545.186,554.280,617.607
Bambo Diaby,-9224,548337,557561,621800,,2025-09-03,-9.224,548.337,557.561,621.800
Diego Aguado,-10282,573705,583987,655558,,2025-09-03,-10.282,573.705,583.987,655.558
Jiri Letacek,-10442,577574,588016,660706,,2025-09-03,-10.442,577.574,588.016,660.706
Javi Llabres,-10519,579415,589934,663157,,2025-09-03,-10.519,579.415,589.934,663.157
Adama Boiro,-11302,598177,609479,688127,,2025-09-03,-11.302,598.177,609.479,688.127
Pablo Campos,-11328,2939766,2951094,2727959,,2025-09-03,-11.328,2.939.766,2.951.094,2.727.959
Manu Bueno,-11443,601564,613007,692633,,2025-09-03,-11.443,601.564,613.007,692.633
Omar Falah,-11443,601564,613007,692633,,2025-09-03,-11.443,601.564,613.007,692.633
Albert Niculaesei,-11523,603489,615012,695194,,2025-09-03,-11.523,603.489,615.012,695.194
David Lopez,-11651,606581,618232,699308,,2025-09-03,-11.651,606.581,618.232,699.308
Adrian De La Fuente,-12004,615033,627037,679124,,2025-09-03,-12.004,615.033,627.037,679.124
Ivan Cuellar,-12979,638437,651416,741702,,2025-09-03,-12.979,638.437,651.416,741.702
Oier Luengo,-13099,641315,654414,745531,,2025-09-03,-13.099,641.315,654.414,745.531
Marc Vidal,-13209,643975,657184,749070,,2025-09-03,-13.209,643.975,657.184,749.070
John Chetauya,-13272,645460,658732,745974,,2025-09-03,-13.272,645.460,658.732,745.974
Mario Martin,-13781,1549510,1563291,1742565,,2025-09-03,-13.781,1.549.510,1.563.291,1.742.565
Carlos Espi,-13792,657944,671736,767661,,2025-09-03,-13.792,657.944,671.736,767.661
Unai Elgezabal,-13954,771631,785585,832763,,2025-09-03,-13.954,771.631,785.585,832.763
Moussa Diarra,-14233,668522,682755,781740,,2025-09-03,-14.233,668.522,682.755,781.740
Juan Musso,-14358,671513,685871,785109,,2025-09-03,-14.358,671.513,685.871,785.109
Lucas Bergstrom,-14889,684276,699165,800000,,2025-09-03,-14.889,684.276,699.165,800.000
Mourad Daoudi,-14922,685063,699985,803751,,2025-09-03,-14.922,685.063,699.985,803.751
Rahim Alhassane,-15096,1335446,1350542,1528694,,2025-09-03,-15.096,1.335.446,1.350.542,1.528.694
Martim Neto,-15210,2342355,2357565,2269596,,2025-09-03,-15.210,2.342.355,2.357.565,2.269.596
Miguel Angel Rubio,-15683,1875225,1890908,1785817,,2025-09-03,-15.683,1.875.225,1.890.908,1.785.817
Antonio Lato,-16169,715008,731177,842603,,2025-09-03,-16.169,715.008,731.177,842.603
Carlos Martin,-16223,716295,732518,843742,,2025-09-03,-16.223,716.295,732.518,843.742
Ilyas Chaira,-16556,3612419,3628975,3327345,,2025-09-03,-16.556,3.612.419,3.628.975,3.327.345
Angel Fortuño,-16598,725306,741904,855916,,2025-09-03,-16.598,725.306,741.904,855.916
Ismael Bekhoucha,-16625,1038859,1055484,1247177,,2025-09-03,-16.625,1.038.859,1.055.484,1.247.177
Toni Martinez,-16703,2317691,2334394,2357076,,2025-09-03,-16.703,2.317.691,2.334.394,2.357.076
Adrian San Miguel,-17103,737424,754527,859985,,2025-09-03,-17.103,737.424,754.527,859.985
Brandon Domingues,-17180,739249,756429,875859,,2025-09-03,-17.180,739.249,756.429,875.859
Largie Ramazani,-17384,8520326,8537710,0,,2025-09-03,-17.384,8.520.326,8.537.710,0
Joel Roca,-18410,2487383,2505793,2863561,,2025-09-03,-18.410,2.487.383,2.505.793,2.863.561
Alejandro Rego,-18517,771334,789851,918555,,2025-09-03,-18.517,771.334,789.851,918.555
Jozhua Vertrouwd,-18558,772315,790873,919864,,2025-09-03,-18.558,772.315,790.873,919.864
Abdul Mumin,-18650,775949,794599,924623,,2025-09-03,-18.650,775.949,794.599,924.623
Iker Benito,-19664,798896,818560,955235,,2025-09-03,-19.664,798.896,818.560,955.235
Tanguy Nianzou,-20060,808381,828441,967857,,2025-09-03,-20.060,808.381,828.441,967.857
Jon Ander Olasagasti,-20526,819584,840110,982259,,2025-09-03,-20.526,819.584,840.110,982.259
Abde Rebbach,-20527,819576,840103,913783,,2025-09-03,-20.527,819.576,840.103,913.783
Oriol Rey,-20742,1257790,1278532,1278816,,2025-09-03,-20.742,1.257.790,1.278.532,1.278.816
Franco Cervi,-20943,829557,850500,989365,,2025-09-03,-20.943,829.557,850.500,989.365
Pol Lozano,-21289,1479606,1500895,1706183,,2025-09-03,-21.289,1.479.606,1.500.895,1.706.183
Nikola Maras,-21487,842628,864115,1013433,,2025-09-03,-21.487,842.628,864.115,1.013.433
Alejandro Primo,-21609,845561,867170,1009515,,2025-09-03,-21.609,845.561,867.170,1.009.515
Jorge Cabello,-22062,853870,875932,917503,Enric,2025-09-03,-22.062,853.870,875.932,917.503
Kike Barja,-22167,858962,881129,1035168,,2025-09-03,-22.167,858.962,881.129,1.035.168
Leo Petrot,-22860,875568,898428,1028047,,2025-09-03,-22.860,875.568,898.428,1.028.047
Ivan Villar,-23095,881240,904335,1058021,,2025-09-03,-23.095,881.240,904.335,1.058.021
Victor Parada,-23728,952811,976539,943256,Carre,2025-09-03,-23.728,952.811,976.539,943.256
Victor Muñoz,-24630,2521057,2545687,2411876,,2025-09-03,-24.630,2.521.057,2.545.687,2.411.876
Josan Ferrandez,-25437,937426,962863,1139587,,2025-09-03,-25.437,937.426,962.863,1.139.587
Azzedine Ounahi,-25613,941634,967247,0,,2025-09-03,-25.613,941.634,967.247,0
Unai Gomez,-25859,947546,973405,1153053,,2025-09-03,-25.859,947.546,973.405,1.153.053
Unai Vencedor,-25870,947818,973688,1153416,,2025-09-03,-25.870,947.818,973.688,1.153.416
Jose Salinas,-25986,950605,976591,1157125,,2025-09-03,-25.986,950.605,976.591,1.157.125
Alejandro Frances,-26002,950970,976972,1156356,,2025-09-03,-26.002,950.970,976.972,1.156.356
Damian Rodriguez,-26651,966561,993212,1173787,,2025-09-03,-26.651,966.561,993.212,1.173.787
Alberto Reina,-27063,1387117,1414180,1648365,,2025-09-03,-27.063,1.387.117,1.414.180,1.648.365
Omar Mascarell,-27199,979702,1006901,1131568,,2025-09-03,-27.199,979.702,1.006.901,1.131.568
Iker Muñoz,-27240,980683,1007923,1197152,,2025-09-03,-27.240,980.683,1.007.923,1.197.152
Abdon Prats,-27982,998505,1026487,1217574,,2025-09-03,-27.982,998.505,1.026.487,1.217.574
Pablo Garcia,-28078,3703888,3731966,3879546,,2025-09-03,-28.078,3.703.888,3.731.966,3.879.546
Victor Garcia,-28184,1003341,1031525,1223421,,2025-09-03,-28.184,1.003.341,1.031.525,1.223.421
Jon Gorrotxategi,-28803,2037389,2066192,2264330,,2025-09-03,-28.803,2.037.389,2.066.192,2.264.330
 Miguel Narvaez,-28939,1021481,1050420,1239208,,2025-09-03,-28.939,1.021.481,1.050.420,1.239.208
Abel Bretones,-28970,1022211,1051181,1241765,,2025-09-03,-28.970,1.022.211,1.051.181,1.241.765
Alvaro Odriozola,-29341,1031112,1060453,1264144,,2025-09-03,-29.341,1.031.112,1.060.453,1.264.144
Beñat Prados,-29529,1456111,1485640,1715485,,2025-09-03,-29.529,1.456.111,1.485.640,1.715.485
