jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,propietario,fecha
Victor Muñoz,-27.588,2.492.744,2.520.332,2.449.355,,2025-09-04
Manuel Morlanes,-27.737,1.121.839,1.149.576,1.346.844,,2025-09-04
Alberto Reina,-28.241,1.358.599,1.386.840,1.600.419,,2025-09-04
Eray Comert,-28.809,1.050.446,1.079.255,1.286.634,,2025-09-04
Adria Pedrosa,-29.222,1.176.309,1.205.531,1.419.054,,2025-09-04
Calebe Gonçalves,-30.064,1.080.561,1.110.625,1.303.782,,2025-09-04
 Ali Houary,-30.087,1.081.120,1.111.207,1.312.682,,2025-09-04
Antonio Sanchez,-30.095,1.081.309,1.111.404,1.317.774,,2025-09-04
Horatiu Moldovan,-30.483,1.090.625,1.121.108,1.330.935,,2025-09-04
Pau Navarro,-30.750,1.097.043,1.127.793,1.345.391,,2025-09-04
Jones El-Abdellaoui,-30.939,1.101.570,1.132.509,1.352.130,,2025-09-04
Mikel Vesga,-31.136,1.123.710,1.154.846,1.349.200,,2025-09-04
Juan Carlos Martin,-31.764,1.121.360,1.153.124,1.372.021,,2025-09-04
Nico Serrano,-31.946,1.125.743,1.157.689,1.385.564,,2025-09-04
Pedro Diaz,-31.963,2.074.833,2.106.796,2.357.605,,2025-09-04
Andrei Ratiu,-32.226,15.434.786,15.467.012,16.250.270,,2025-09-04
Marash Kumbulla,-33.373,2.117.992,2.151.365,2.319.349,,2025-09-04
Randy Nteka,-33.480,1.162.542,1.196.022,1.400.039,,2025-09-04
Jon Karrikaburu,-33.519,1.163.475,1.196.994,1.433.863,,2025-09-04
Jofre Carreras,-33.782,1.169.792,1.203.574,1.431.696,,2025-09-04
Javi Lopez,-33.865,1.249.487,1.283.352,1.516.689,,2025-09-04
Roger Brugue,-34.182,1.508.491,1.542.673,1.703.478,,2025-09-04
Urko Izeta,-34.955,1.197.951,1.232.906,1.480.931,,2025-09-04
Kwasi Sibo,-36.145,1.716.148,1.752.293,1.895.587,,2025-09-04
